da ba de men neng jiang ren jia si ？	大 巴 的 门 能 将 人 夹 死 ？
sha er ke zhu shuai si long qia chu ren yi liao de xuan ze le qiong si dan ren hou yao 。	沙 尔 克 主 帅 斯 隆 卡 出 人 意 料 的 选 择 了 琼 斯 担 任 后 腰 。
zuo wei liang ge mao yi da guo ， zhong mei zhi jian chu xian mao yi mo ca shi bu ke bi mian ye shi zheng chang de ， guan jian shi ying jian li zheng chang de guan li mo ca ji zhi 。	作 为 两 个 贸 易 大 国 ， 中 美 之 间 出 现 贸 易 摩 擦 是 不 可 避 免 也 是 正 常 的 ， 关 键 是 应 建 立 正 常 的 管 理 摩 擦 机 制 。
ru guo yao shi gao shu er ， zhi shi mian kao de shao yi xie ， ji zhong yi xie ， dan shi ti de fen liang jiu zhong yi xie ， bi ru shuo mei nian you er yuan de wei ji fen ， duo yuan han shu de wei ji fen ， zhe li mian ke neng hui chu xian bi jiao nan diao zuan yi xie de ti 。	如 果 要 是 高 数 二 ， 知 识 面 考 得 少 一 些 ， 集 中 一 些 ， 但 是 题 的 分 量 就 重 一 些 ， 比 如 说 每 年 有 二 元 的 微 积 分 ， 多 元 函 数 的 微 积 分 ， 这 里 面 可 能 会 出 现 比 较 难 刁 钻 一 些 的 题 。
ji zhe ting shuo ni zuo wan guan kan le zheng zhi zai ying guan de liang chang bi sai lu xiang ， ni ren wei zheng zhi yi dan hui gui ， hui dui ni de zhan shu you bang zhu ma ？	记 者 听 说 你 昨 晚 观 看 了 郑 智 在 英 冠 的 两 场 比 赛 录 像 ， 你 认 为 郑 智 一 旦 回 归 ， 会 对 你 的 战 术 有 帮 助 吗 ？
deng yu bei deng de ， shou yu bei shou de ， song yu bei song de ， kan yu bei kan de ， chuan liu bu xi 。	等 与 被 等 的 ， 守 与 被 守 的 ， 送 与 被 送 的 ， 看 与 被 看 的 ， 川 流 不 息 。
ju zi xing shi shi mei you	句 子 形 式 是 没 有
gong yi xin tuo ke yi wu xian qi cun xu ， dang shou tuo ren bu ju you guan li gong yi xin tuo cai chan de neng li shi ， ke yi yi fa yu yi geng huan ， bu ying xiang gong yi xin tuo de cun xu 。	公 益 信 托 可 以 无 限 期 存 续 ， 当 受 托 人 不 具 有 管 理 公 益 信 托 财 产 的 能 力 时 ， 可 以 依 法 予 以 更 换 ， 不 影 响 公 益 信 托 的 存 续 。
fang di chan shi chang de xiao fei xing xu qiu reng jiang bao chi jiao da gui mo he jiao kuai zeng su 。	房 地 产 市 场 的 消 费 性 需 求 仍 将 保 持 较 大 规 模 和 较 快 增 速 。
gao kao shi ， wo de fen shu chao guo le zhong dian fen shu xian ， quan jia ren du hen gao xing ， fu mu rang wo bao kao bei jing shang hai de da xue ， er wo zi ji que zhi yi bao le hai nan de da xue ， yin wei hai nan yi zhi shi wo xiang wang de di fang ， ye zi shu da hai zai wo de xin li shi na yang de shen mi 。	高 考 时 ， 我 的 分 数 超 过 了 重 点 分 数 线 ， 全 家 人 都 很 高 兴 ， 父 母 让 我 报 考 北 京 上 海 的 大 学 ， 而 我 自 己 却 执 意 报 了 海 南 的 大 学 ， 因 为 海 南 一 直 是 我 向 往 的 地 方 ， 椰 子 树 大 海 在 我 的 心 里 是 那 样 的 神 秘 。
yin wei mei you zuo bi yao de jiao dai yu shuo ming ， suo yi shi de qi yi si zhi jian bu gou lian guan ， duan xu tiao yue 。	因 为 没 有 作 必 要 的 交 待 与 说 明 ， 所 以 使 得 其 意 思 之 间 不 够 连 贯 ， 断 续 跳 跃 。
wan shan guo ku dan yi zhang hu ti xi ， jia qiang yu suan dan wei shi you zi jin zhang hu guan li ， gui fan zhang hu shen pi nian jian he bing che xiao deng ji chu xing guan li gong zuo ， zhu bu jiang yu suan dan wei suo you shi you zi jin zhang hu na ru guo ku dan yi zhang hu ti xi guan li ， dui yu suan dan wei bao kuo shi you zi jin zai nei de suo you cai zheng xing zi jin shi shi dong tai jian kong 。	完 善 国 库 单 一 账 户 体 系 ， 加 强 预 算 单 位 实 有 资 金 账 户 管 理 ， 规 范 账 户 审 批 年 检 合 并 撤 销 等 基 础 性 管 理 工 作 ， 逐 步 将 预 算 单 位 所 有 实 有 资 金 账 户 纳 入 国 库 单 一 账 户 体 系 管 理 ， 对 预 算 单 位 包 括 实 有 资 金 在 内 的 所 有 财 政 性 资 金 实 施 动 态 监 控 。
yin wei zai ben di zui rong yi jie chu dao gen yan de ， jiu shi wu tai ju 。	因 为 在 本 地 最 容 易 接 触 导 跟 演 的 ， 就 是 舞 台 剧 。
you yu jia ting de shou ru zhuang kuang ， cai wu xian zhuang zai bu duan di bian hua ， wo men yao jing chang dui li cai xiao guo jin xing ping gu ， shi xian li cai an quan zeng zhi zi you de xiao guo 。	由 于 家 庭 的 收 入 状 况 ， 财 务 现 状 在 不 断 地 变 化 ， 我 们 要 经 常 对 理 财 效 果 进 行 评 估 ， 实 现 理 财 安 全 增 值 自 由 的 效 果 。
mo ran hui shou ， wo men yi jing zou le zhe me yuan 。	蓦 然 回 首 ， 我 们 已 经 走 了 这 么 远 。
huo xu bi qi zai bi sai zhong jie jue xi ban ya ， duo na duo ni geng yuan yi xiang xin yi da li zai tao tai sai zhong de yun qi 。	或 许 比 起 在 比 赛 中 解 决 西 班 牙 ， 多 纳 多 尼 更 愿 意 相 信 意 大 利 在 淘 汰 赛 中 的 运 气 。
ling yi ge ban ， qi fen geng huo yue 。	另 一 个 班 ， 气 氛 更 活 跃 。
gen ju gai tiao li ， ju da zai nan fa sheng zhi hou ， zheng fu bi xu li ke fa biao sheng ming 。	根 据 该 条 例 ， 巨 大 灾 难 发 生 之 后 ， 政 府 必 须 立 刻 发 表 声 明 。
li zhu shuo ， qi shi ta xiao shi hou fei chang tao qi ， sui ran cheng ji zong shi di yi ming ， dan shang ke jing chang bu ren zhen ting jiang ， ai gao xiao dong zuo ， zuo bu zhu 。	李 竹 说 ， 其 实 他 小 时 候 非 常 淘 气 ， 虽 然 成 绩 总 是 第 一 名 ， 但 上 课 经 常 不 认 真 听 讲 ， 爱 搞 小 动 作 ， 坐 不 住 。
wa dang he yin zhang ke yi bing cheng ， yi yuan yi fang ， tian yuan di fang 。	瓦 当 和 印 章 可 以 并 称 ， 一 圆 一 方 ， 天 圆 地 方 。
ji ni jue de nong cun chuang ye zui xu yao shen me ？	记 你 觉 得 农 村 创 业 最 需 要 什 么 ？
gao zhong xue xiao bu de wei bao ming cai liao bu quan huo xiang ying ren zheng bu wan zheng de kao sheng ban li bao ming shou xu ， bu an shi song jiao kao sheng xin xi ren zheng ping zheng huo mei you qian zi de kao sheng ， jiang bu zhun ling qu zhun kao zheng 。	高 中 学 校 不 得 为 报 名 材 料 不 全 或 相 应 认 证 不 完 整 的 考 生 办 理 报 名 手 续 ， 不 按 时 送 交 考 生 信 息 认 证 凭 证 或 没 有 签 字 的 考 生 ， 将 不 准 领 取 准 考 证 。
zhe zhong bing du fan guo lai you yang ji nan xing ， zhe zheng shi nan xing zi ji zai zuo nie 。	这 种 病 毒 反 过 来 又 殃 及 男 性 ， 这 正 是 男 性 自 己 在 作 孽 。
bu shao dai kuan gou fang zhe biao shi ， sui ran yue huan kuan jin e zeng jia bu duo ， dan jin nian yi lai yi jing wu ci jia xi ， lei ji xia lai ye shi yi bi bu xiao de fu dan 。	不 少 贷 款 购 房 者 表 示 ， 虽 然 月 还 款 金 额 增 加 不 多 ， 但 今 年 以 来 已 经 五 次 加 息 ， 累 积 下 来 也 是 一 笔 不 小 的 负 担 。
zhe ge tiao fu gua de shi jian huan suan chang ， you shi ji tian ， wo zhi zu le 。	这 个 条 幅 挂 的 时 间 还 算 长 ， 有 十 几 天 ， 我 知 足 了 。
tou fa chang de ye hen man ， zhe shi zen me hui shi ？	头 发 长 得 也 很 慢 ， 这 是 怎 么 回 事 ？
zuo tian zhong wu ， xiao fang hou qin chu fu ze ren jiang xi hua de shu mian yao qiu jiao gei wu ye ， yi que bao xue sheng an quan 。	昨 天 中 午 ， 校 方 后 勤 处 负 责 人 将 细 化 的 书 面 要 求 交 给 物 业 ， 以 确 保 学 生 安 全 。
er dang wo wen dao ru guo yi fen fei chang qing song ， dan shou ru bi ni xian zai yao shao hen duo de gong zuo ni yuan yi kao lv ma ？	而 当 我 问 到 如 果 一 份 非 常 轻 松 ， 但 收 入 比 你 现 在 要 少 很 多 的 工 作 你 愿 意 考 虑 吗 ？
zai dang qian zhong ri guan xi chu xian wen ti de qing kuang xia ye bu pai chu shuang fang hui jiu yi xie ju ti wen ti jiao huan yi jian 。	在 当 前 中 日 关 系 出 现 问 题 的 情 况 下 也 不 排 除 双 方 会 就 一 些 具 体 问 题 交 换 意 见 。
